Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5,Prereq_6,Prereq_7,Prereq_8,Prereq_9,Prereq_10,Prereq_11,Prereq_12,Prereq_13,Prereq_14
COMP 50,,,,,,,,,,,,,,
COMP 60,,,,,,,,,,,,,,
COMP 65,,,,,,,,,,,,,,
COMP 80,,,,,,,,,,,,,,
COMP 85,,,,,,,,,,,,,,
COMP 89,,,,,,,,,,,,,,
COMP 101,MATH 110,MATH 130,,,,,,,,,,,,
COMP 110,MATH 130,MATH 152,MATH 210,MATH 231,MATH 129P,PHIL 155,STOR 120,STOR 151,STOR 155,,,,,
COMP 116,MATH 231,,,,,,,,,,,,,
COMP 126,,,,,,,,,,,,,,
COMP 180,,,,,,,,,,,,,,
COMP 185,,,,,,,,,,,,,,
COMP 190,,,,,,,,,,,,,,
COMP 210,COMP 110,MATH 231,COMP 283,MATH 381,,,,,,,,,,
COMP 211,COMP 210,COMP 283,MATH 381,,,,,,,,,,,
COMP 222,,,,,,,,,,,,,,
COMP 227,COMP 210,COMP 401,,,,,,,,,,,,
COMP 283,MATH 231,,,,,,,,,,,,,
COMP 290,,,,,,,,,,,,,,
COMP 293,MATH 231,COMP 401,COMP 410,COMP 411,COMP 401,COMP 410,COMP 411,,,,,,,
COMP 301,COMP 210,COMP 283,MATH 381,,,,,,,,,,,
COMP 311,COMP 211,,,,,,,,,,,,,
COMP 325,,,,,,,,,,,,,,
COMP 380,,,,,,,,,,,,,,
COMP 388,COMP 380,,,,,,,,,,,,,
COMP 390,,,,,,,,,,,,,,
COMP 393,COMP 211,COMP 301,COMP 401,COMP 410,COMP 411,,,,,,,,,
COMP 401,MATH 231,,,,,,,,,,,,,
COMP 410,MATH 231,COMP 401,,,,,,,,,,,,
COMP 411,MATH 231,COMP 401,,,,,,,,,,,,
COMP 421,COMP 210,COMP 211,COMP 301,COMP 401,COMP 410,COMP 411,,,,,,,,
COMP 426,COMP 211,COMP 301,COMP 401,COMP 410,,,,,,,,,,
COMP 431,COMP 210,COMP 211,COMP 301,COMP 401,COMP 410,COMP 411,,,,,,,,
COMP 433,COMP 210,COMP 211,COMP 301,COMP 401,COMP 410,COMP 411,,,,,,,,
COMP 435,COMP 210,COMP 211,COMP 301,COMP 401,COMP 410,COMP 411,,,,,,,,
COMP 447,MATH 232,MATH 118,,,,,,,,,,,,
COMP 455,COMP 210,COMP 410,COMP 283,MATH 381,,,,,,,,,,
COMP 475,COMP 210,COMP 211,COMP 301,COMP 401,COMP 410,COMP 411,,,,,,,,
COMP 486,COMP 110,COMP 116,COMP 210,COMP 410,,,,,,,,,,
COMP 487,,,,,,,,,,,,,,
COMP 488,,,,,,,,,,,,,,
COMP 495,,,,,,,,,,,,,,
COMP 496,,,,,,,,,,,,,,
COMP 520,COMP 301,COMP 311,COMP 455,COMP 410,COMP 411,COMP 455,,,,,,,,
COMP 523,COMP 301,COMP 311,COMP 401,COMP 410,COMP 411,COMP 421,COMP 426,COMP 431,COMP 433,COMP 520,COMP 530,COMP 535,COMP 575,COMP 580
COMP 524,COMP 301,COMP 311,COMP 455,COMP 401,COMP 410,COMP 411,COMP 455,,,,,,,
COMP 530,COMP 301,COMP 311,COMP 401,COMP 410,COMP 411,,,,,,,,,
COMP 533,COMP 431,COMP 524,COMP 530,,,,,,,,,,,
COMP 535,COMP 301,COMP 311,COMP 401,COMP 410,COMP 411,COMP 550,COMP 283,MATH 381,,,,,,
COMP 537,COMP 211,COMP 301,,,,,,,,,,,,
COMP 541,COMP 301,COMP 311,COMP 401,COMP 410,COMP 411,,,,,,,,,
COMP 545,COMP 301,COMP 311,COMP 411,,,,,,,,,,,
COMP 550,COMP 211,COMP 301,COMP 410,,,,,,,,,,,
COMP 555,COMP 210,COMP 211,COMP 401,COMP 410,MATH 231,BIOL 452,MATH 553,BIOL 525,,,,,,
COMP 560,COMP 211,COMP 301,COMP 401,COMP 410,MATH 231,,,,,,,,,
COMP 562,COMP 211,COMP 301,COMP 401,COMP 410,MATH 233,MATH 347,STOR 435,,,,,,,
COMP 572,COMP 301,COMP 401,COMP 410,MATH 347,MATH 577,,,,,,,,,
COMP 575,COMP 301,COMP 311,COMP 401,COMP 410,COMP 411,MATH 347,MATH 577,,,,,,,
COMP 576,COMP 116,COMP 210,COMP 401,MATH 233,,,,,,,,,,
COMP 580,COMP 211,COMP 301,COMP 401,COMP 410,,,,,,,,,,
COMP 581,COMP 301,COMP 311,COMP 401,COMP 410,COMP 411,,,,,,,,,
COMP 585,COMP 301,COMP 311,COMP 401,COMP 410,COMP 411,COMP 421,COMP 426,COMP 431,COMP 433,COMP 520,COMP 523,COMP 530,COMP 535,COMP 575
COMP 590,COMP 211,COMP 301,,,,,,,,,,,,
COMP 630,COMP 530,,,,,,,,,,,,,
COMP 631,COMP 431,COMP 530,,,,,,,,,,,,
COMP 633,,,,,,,,,,,,,,
COMP 635,COMP 431,,,,,,,,,,,,,
COMP 636,COMP 431,COMP 530,,,,,,,,,,,,
COMP 651,COMP 550,,,,,,,,,,,,,
COMP 662,MATH 661,,,,,,,,,,,,,
COMP 664,COMP 562,COMP 755,STOR 565,STOR 347,STOR 577,MATH 233,MATH 522,,,,,,,
COMP 665,,,,,,,,,,,,,,
COMP 672,STOR 555,STOR 641,,,,,,,,,,,,
COMP 690,,,,,,,,,,,,,,
COMP 691H,,,,,,,,,,,,,,
COMP 692H,,,,,,,,,,,,,,
COMP 715,,,,,,,,,,,,,,
COMP 720,COMP 455,COMP 520,COMP 524,,,,,,,,,,,
COMP 721,550 550,,,,,,,,,,,,,
COMP 722,COMP 550,STOR 435,,,,,,,,,,,,
COMP 723,COMP 524,COMP 550,,,,,,,,,,,,
COMP 724,COMP 455,COMP 520,COMP 524,,,,,,,,,,,
COMP 730,COMP 530,,,,,,,,,,,,,
COMP 734,COMP 431,,,,,,,,,,,,,
COMP 735,COMP 530,COMP 550,,,,,,,,,,,,
COMP 737,COMP 530,,,,,,,,,,,,,
COMP 740,COMP 411,PHYS 352,,,,,,,,,,,,
COMP 741,COMP 411,,,,,,,,,,,,,
COMP 744,COMP 740,,,,,,,,,,,,,
COMP 750,COMP 455,COMP 550,,,,,,,,,,,,
COMP 752,COMP 825,,,,,,,,,,,,,
COMP 755,MATH 347,MATH 577,STOR 435,,,,,,,,,,,
COMP 761,,,,,,,,,,,,,,
COMP 763,COMP 724,,,,,,,,,,,,,
COMP 764,COMP 110,MATH 233,MATH 418,STOR 435,,,,,,,,,,
COMP 766,MATH 233,,,,,,,,,,,,,
COMP 767,COMP 575,COMP 770,MATH 661,,,,,,,,,,,
COMP 768,COMP 665,,,,,,,,,,,,,
COMP 770,COMP 665,COMP 761,,,,,,,,,,,,
COMP 775,MATH 233,MATH 347,STOR 435,,,,,,,,,,,
COMP 776,MATH 566,COMP 550,COMP 665,COMP 775,,,,,,,,,,
COMP 777,MATH 233,MATH 347,MATH 535,STOR 435,,,,,,,,,,
COMP 781,COMP 550,MATH 347,,,,,,,,,,,,
COMP 782,COMP 550,,,,,,,,,,,,,
COMP 786,COMP 562,,,,,,,,,,,,,
COMP 787,COMP 665,,,,,,,,,,,,,
COMP 788,COMP 750,,,,,,,,,,,,,
COMP 790,,,,,,,,,,,,,,
COMP 822,STOR 712,,,,,,,,,,,,,
COMP 824,COMP 524,,,,,,,,,,,,,
COMP 825,COMP 524,,,,,,,,,,,,,
COMP 831,COMP 431,,,,,,,,,,,,,
COMP 832,COMP 431,COMP 530,,,,,,,,,,,,
COMP 841,COMP 740,,,,,,,,,,,,,
COMP 842,COMP 740,,,,,,,,,,,,,
COMP 844,COMP 744,,,,,,,,,,,,,
COMP 850,COMP 750,,,,,,,,,,,,,
COMP 870,COMP 770,,,,,,,,,,,,,
COMP 872,COMP 870,,,,,,,,,,,,,
COMP 875,COMP 775,,,,,,,,,,,,,
COMP 892,,,,,,,,,,,,,,
COMP 910,,,,,,,,,,,,,,
COMP 911,,,,,,,,,,,,,,
COMP 915,,,,,,,,,,,,,,
COMP 916,,,,,,,,,,,,,,
COMP 917,,,,,,,,,,,,,,
COMP 918,,,,,,,,,,,,,,
COMP 980,,,,,,,,,,,,,,
COMP 990,,,,,,,,,,,,,,
COMP 991,,,,,,,,,,,,,,
COMP 992,,,,,,,,,,,,,,
COMP 993,,,,,,,,,,,,,,
COMP 994,,,,,,,,,,,,,,
