Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4
MTSC 615,,,,
MTSC 710,,,,
MTSC 711,,,,
MTSC 715,,,,
MTSC 718,,,,
MTSC 720,,,,
MTSC 730,,,,
MTSC 735,,,,
MTSC 740,,,,
MTSC 745,,,,
MTSC 750,,,,
MTSC 755,,,,
MTSC 760,,,,
MTSC 765,,,,
MTSC 780,,,,
MTSC 785,,,,
MTSC 810,APPL 470,PHYS 573,MTSC 615,MTSC 730
MTSC 820,APPL 470,PHYS 573,,
MTSC 830,APPL 470,PHYS 573,,
MTSC 840,APPL 470,PHYS 573,MTSC 615,MTSC 730
MTSC 871,PHYS 421,,,
MTSC 872,PHYS 871,,,
MTSC 891,,,,
MTSC 892,,,,
MTSC 893,,,,
MTSC 894,,,,
MTSC 895,,,,
MTSC 896,,,,
MTSC 897,,,,
MTSC 898,,,,
MTSC 899,,,,
MTSC 989,,,,
MTSC 992,,,,
MTSC 993,,,,
MTSC 994,,,,
