Course Code,Prereq_1,Prereq_2,Prereq_3
MUSC 51,,,
MUSC 52,,,
MUSC 53,,,
MUSC 54,,,
MUSC 55H,,,
MUSC 56,,,
MUSC 57,,,
MUSC 58,,,
MUSC 59,,,
MUSC 60H,,,
MUSC 61H,,,
MUSC 62,,,
MUSC 63,,,
MUSC 64,,,
MUSC 65,,,
MUSC 66,,,
MUSC 89,,,
MUSC 100,,,
MUSC 102,,,
MUSC 103,,,
MUSC 104,,,
MUSC 105,,,
MUSC 106,,,
MUSC 107,,,
MUSC 110,,,
MUSC 111,,,
MUSC 112,,,
MUSC 113,,,
MUSC 114,,,
MUSC 115,,,
MUSC 120,,,
MUSC 121,,,
MUSC 122,MUSC 121,,
MUSC 123,MUSC 202,,
MUSC 124,MUSC 123,,
MUSC 125,MUSC 123,,
MUSC 128,,,
MUSC 129,MUSC 128,,
MUSC 130,MUSC 128,MUSC 131,
MUSC 131,MUSC 130,,
MUSC 132,MUSC 131,,
MUSC 133,MUSC 130,MUSC 131,MUSC 132
MUSC 135,,,
MUSC 136,,,
MUSC 137,,,
MUSC 141,,,
MUSC 142,,,
MUSC 143,,,
MUSC 144,,,
MUSC 145,,,
MUSC 146,,,
MUSC 147,,,
MUSC 148,,,
MUSC 149,,,
MUSC 151,,,
MUSC 155,,,
MUSC 156,,,
MUSC 157,,,
MUSC 158,,,
MUSC 161,,,
MUSC 163,MUSC 135,,
MUSC 164,,,
MUSC 166,MUSC 131,,
MUSC 167,MUSC 131,,
MUSC 168,MUSC 131,,
MUSC 188,,,
MUSC 200,,,
MUSC 202,,,
MUSC 203,,,
MUSC 204,,,
MUSC 205,,,
MUSC 206,,,
MUSC 207,,,
MUSC 211,,,
MUSC 212,,,
MUSC 213,,,
MUSC 214,,,
MUSC 223,MUSC 121,MUSC 131,
MUSC 224,MUSC 100,MUSC 200,
MUSC 225,MUSC 102,MUSC 202,
MUSC 226,,,
MUSC 227,,,
MUSC 228,MUSC 226,MUSC 227,
MUSC 230,MUSC 132,MUSC 133,MUSC 232
MUSC 232,MUSC 132,,
MUSC 233,MUSC 254,,
MUSC 234,,,
MUSC 236,MUSC 136,,
MUSC 239,,,
MUSC 240,,,
MUSC 245,MUSC 146,,
MUSC 248,,,
MUSC 251,,,
MUSC 254,MUSC 131,,
MUSC 255,MUSC 132,MUSC 254,
MUSC 258,,,
MUSC 261,,,
MUSC 263,MUSC 163,,
MUSC 265,MUSC 135,MUSC 163,
MUSC 266,MUSC 166,,
MUSC 267,MUSC 167,,
MUSC 269,,,
MUSC 270,MUSC 120,,
MUSC 271,MUSC 120,MUSC 270,
MUSC 280,,,
MUSC 281,,,
MUSC 282,,,
MUSC 283,,,
MUSC 284,,,
MUSC 285,,,
MUSC 286,,,
MUSC 287,,,
MUSC 288,,,
MUSC 289,,,
MUSC 291,,,
MUSC 292,,,
MUSC 294,,,
MUSC 296,,,
MUSC 300,MUSC 200,,
MUSC 302,MUSC 202,,
MUSC 303,MUSC 203,,
MUSC 304,MUSC 204,,
MUSC 305,MUSC 205,,
MUSC 306,MUSC 206,,
MUSC 307,MUSC 266,,
MUSC 308,MUSC 168,,
MUSC 309,MUSC 308,,
MUSC 330,,,
MUSC 331,MUSC 232,,
MUSC 332,MUSC 232,,
MUSC 333,MUSC 232,,
MUSC 338,MUSC 232,,
MUSC 351,MUSC 120,MUSC 270,MUSC 271
MUSC 355,MUSC 254,,
MUSC 363,,,
MUSC 364,,,
MUSC 381,,,
MUSC 390,,,
MUSC 471,,,
MUSC 493,,,
MUSC 676,,,
MUSC 691H,,,
MUSC 692H,MUSC 691H,,
MUSC 750,,,
MUSC 751,,,
MUSC 830,,,
MUSC 850,,,
MUSC 870,,,
MUSC 890,,,
MUSC 930,,,
MUSC 950,,,
MUSC 970,,,
MUSC 991,MUSC 994,,
MUSC 993,,,
MUSC 994,MUSC 991,,
